em_ortsbezüge,em_ortsbezüge_wikidata,wikidata_id,coordinate_location_wikidata,coord_lat,coord_lon
Godesberg,Bad Godesberg,Q153260,"50.683333333333,7.15",50.683333333333,7.15
Gordemitz bei Eilenburg,Gordemitz,Q1537900,"51.410277777778,12.541944444444",51.410277777778,12.541944444444
Görlitz,Görlitz,Q4077,"51.152777777778,14.987222222222",51.152777777778,14.987222222222
Gorongtalo (Celebres/Sulawesi),Gorontalo,Q5067,"0.666667,123",0.666667,123
Göteburg (Göteborg),Gothenburg,Q25287,"57.7075,11.9675",57.7075,11.9675
Göteburg (Schweden),Gothenburg,Q25287,"57.7075,11.9675",57.7075,11.9675
Göteburg (Schweden) [...],Gothenburg,Q25287,"57.7075,11.9675",57.7075,11.9675
Gotha,Gotha,Q6986,"50.948888888889,10.718333333333",50.948888888889,10.718333333333
Göttingen,Göttingen,Q3033,"51.533888888889,9.9355555555556",51.533888888889,9.9355555555556
Göttingen [...],Göttingen,Q3033,"51.533888888889,9.9355555555556",51.533888888889,9.9355555555556
"Gouvernement, Livland (Russland)",Livonia Governorate,Q1419584,"56.9475,24.106944444444",56.9475,24.106944444444
Grabow i./M.,Grabow,Q536826,"53.278844,11.564527",53.278844,11.564527
Grafenstein bei Klagenfurt (Kärnten),Grafenstein,Q662798,"46.615,14.467222222222",46.615,14.467222222222
Gräfentonna (bei Gotha),Gräfentonna,Q1551440,"51.0911,10.7317",51.0911,10.7317
Grahamstown,Makhanda,Q951161,"-33.3,26.533333333333",-33.3,26.533333333333
Graudenz (Westpreußen),Grudziądz,Q123511,"53.4875,18.755",53.4875,18.755
Graz (Österreich),Graz,Q13298,"47.07083333333333,15.438611111111111",47.07083333333333,15.438611111111111
"Greenwich, Kent",Greenwich,Q179385,"51.48,0",51.48,0
Greifenberg i/Pom.,Landkreis Greifenberg i. Pom.,Q1501167,,,
Greifswald,Greifswald,Q4098,"54.083333333333,13.383333333333",54.083333333333,13.383333333333
Greifswald [...],Greifswald,Q4098,"54.083333333333,13.383333333333",54.083333333333,13.383333333333
"Greifswald, aus E 999/1891",Greifswald,Q4098,"54.083333333333,13.383333333333",54.083333333333,13.383333333333
Greifswalde,Greifswald,Q4098,"54.083333333333,13.383333333333",54.083333333333,13.383333333333
Greiz,Greiz,Q7887,"50.75,12.08",50.75,12.08
Gresse (Mecklenburg-Vorpommern),Gresse,Q647346,"53.4333,10.75",53.4333,10.75
Gronau in Westfalen,Gronau,Q6924,"52.2125,7.0416666666667",52.2125,7.0416666666667
Grönland,Greenland,Q223,"72,-40",72,-40
Grootfontain (Damaraland),Grootfontein,Q986336,"-19.565833333333,18.103611111111",-19.565833333333,18.103611111111
Gross Flottbek,Groß Flottbek,Q1606,"53.565361111111,9.8775888888889",53.565361111111,9.8775888888889
Gross Leuthen bei Lübben,Groß Leuthen,Q1547930,"52.03805556,14.0375",52.03805556,14.0375
Groß Lichterfelde,Groß-Lichterfelde,Q1547854,"52.44194444,13.28722222",52.44194444,13.28722222
Gross Schönau (Sachsen),Großschönau,Q572527,"50.896388888889,14.662222222222",50.896388888889,14.662222222222
Groß-Lichterfelde (bei Berlin),Groß-Lichterfelde,Q1547854,"52.44194444,13.28722222",52.44194444,13.28722222
Groß-Wüstenfelde (bei Teterow/Mecklenburg),Groß Wüstenfelde,Q643668,"53.877222222222,12.55",53.877222222222,12.55
Großbritannien,Great Britain,Q23666,"53.833333333333,-2.4166666666667",53.833333333333,-2.4166666666667
Großlichterfelde,Groß-Lichterfelde,Q1547854,"52.44194444,13.28722222",52.44194444,13.28722222
Grünberg (Hessen),Grünberg,Q522469,"50.6,8.95",50.6,8.95
Guadalajara (Mexiko),Guadalajara,Q9022,"20.676388888888887,-103.34222222222222",20.676388888888887,-103.34222222222222
Guajaquil (Ecuador),Guayaquil,Q43509,"-2.19,-79.8875",-2.19,-79.8875
Guatemala,Guatemala,Q774,"15.5,-90.25",15.5,-90.25
Guatemala [...],Guatemala,Q774,"15.5,-90.25",15.5,-90.25
Guatemala-Stadt,Guatemala City,Q1555,"14.641666666666667,-90.51333333333334",14.641666666666667,-90.51333333333334
Guayana,Guayana Province,Q1610725,,,
Guayaquil (Ecuador),Guayaquil,Q43509,"-2.19,-79.8875",-2.19,-79.8875
Guinea,Guinea,Q207887,"6.596835,1.243047",6.596835,1.243047
Guinea (afrikanische Westküste),Guinea,Q207887,"6.596835,1.243047",6.596835,1.243047
Gumbinnen (Ostpreußen),Gumbinnen (district),Q897050,,,
Gürzenich b/Düren (Rheinland),Gürzenich,Q1562104,"50.7906,6.44139",50.7906,6.44139
Güstebiese (Kr. Königsberg/Naumark),Güstebieser Loose,Q2709664,"52.6567,14.2415",52.6567,14.2415
Güstrow,Güstrow,Q16147,"53.793888888889,12.176388888889",53.793888888889,12.176388888889
Güstrow (Mecklenburg),Mecklenburg-Güstrow,Q552822,"53.79388888888889,12.176388888888889",53.79388888888889,12.176388888888889
Gut Bennigsen bei Springe,Springe,Q622891,"52.21666666666667,9.55",52.21666666666667,9.55
"Gut Hellenorm (Estland) (Хелленурм, близ Риги)",Hellenurme,Q2908290,"58.135277777778,26.3825",58.135277777778,26.3825
Gut Seeburg,Gut Seeburg,Q1557041,"47.8742,14.7978",47.8742,14.7978
"Gut, Sandfort bei Osnabrück",Osnabrück,Q2916,"52.278888888889,8.0430555555556",52.278888888889,8.0430555555556
Guttstadt a./R,Dobre Miasto,Q1505099,"53.9875,20.395833333333",53.9875,20.395833333333
Gutu (Rhodesien),Gutu,Q489622,"-19.65,31.166666666667",-19.65,31.166666666667
Haag (Den Haag),The Hague,Q36600,"52.08,4.31",52.08,4.31
Haarlem,Haarlem,Q9920,"52.380277777778,4.6405555555556",52.380277777778,4.6405555555556
Haarlem (Niederlande),Haarlem,Q9920,"52.380277777778,4.6405555555556",52.380277777778,4.6405555555556
"Habana (Kuba, Cuba)",Havana,Q1563,"23.136666666667,-82.358888888889",23.136666666667,-82.358888888889
Habelschwerdt (Glatz),Bystrzyca Kłodzka,Q991022,"50.3,16.65",50.3,16.65
Hadersleben,Haderslev,Q29868,"55.25,9.5",55.25,9.5
Hagen (bei Osnabrück),Hagen,Q2871,"51.359444444444,7.475",51.359444444444,7.475
Hagen (Westfalen),Hagen,Q2871,"51.359444444444,7.475",51.359444444444,7.475
Haiphong (Vietnam),Haiphong,Q72818,"20.8,106.66666666667",20.8,106.66666666667
Haiti,Haiti,Q790,"19,-72.8",19,-72.8
Halensee,Halensee,Q651009,"52.498083,13.296278",52.498083,13.296278
"Halensee, Berlin",Halensee,Q651009,"52.498083,13.296278",52.498083,13.296278
Halle (Saale),Halle (Saale),Q2814,"51.48277777777778,11.969722222222222",51.48277777777778,11.969722222222222
Halle (Saale) [...],Halle (Saale),Q2814,"51.48277777777778,11.969722222222222",51.48277777777778,11.969722222222222
Halle a./S.,Halle (Saale),Q2814,"51.48277777777778,11.969722222222222",51.48277777777778,11.969722222222222
Hamburg,Hamburg,Q1055,"53.55,10",53.55,10
Hamburg [...],Hamburg,Q1055,"53.55,10",53.55,10
Hamm,Hamm,Q2880,"51.68138888888889,7.819166666666667",51.68138888888889,7.819166666666667
Hanau,Hanau,Q3802,"50.132777777777775,8.916944444444445",50.132777777777775,8.916944444444445
Hannover,Hanover,Q1715,"52.374444444444,9.7386111111111",52.374444444444,9.7386111111111
"""Hannover",Hanover,Q1715,"52.374444444444,9.7386111111111",52.374444444444,9.7386111111111
"""","""",,,,
Hannover [...],Hanover,Q1715,"52.374444444444,9.7386111111111",52.374444444444,9.7386111111111
Hansfelde,"Kłosowo, West Pomeranian Voivodeship",Q6455015,"53.39194444444445,16.285833333333333",53.39194444444445,16.285833333333333
"Hanson (Massachusetts, Vereinigte Staaten USA)",Hanson,Q2429617,"42.075,-70.880555555556",42.075,-70.880555555556
Hardersleben,Haderslev,Q29868,"55.25,9.5",55.25,9.5
Harrow,Harrow,Q54961,"51.5836,-0.3464",51.5836,-0.3464
Hatshausen,Hatshausen,Q1588953,"53.353555555556,7.4642583333333",53.353555555556,7.4642583333333
"Hauptstadt, Tepii",Tepic,Q207972,"21.5,-104.9",21.5,-104.9
Hawaii,Hawaii,Q782,"21.5,-158",21.5,-158
Hebron (Ohio),Hebron,Q1592869,"39.9631,-82.4922",39.9631,-82.4922
Hechingen,Hechingen,Q494529,"48.351666666667,8.9633333333333",48.351666666667,8.9633333333333
Heckelberg,Heckelberg,Q85850002,"52.739429,13.838327",52.739429,13.838327
Hefei (China),Hefei,Q185684,"31.86389,117.28083",31.86389,117.28083
Hehlen/Weser,Hehlen,Q238513,"51.98437,9.46991",51.98437,9.46991
Heidelberg,Heidelberg,Q2966,"49.412222222222,8.71",49.412222222222,8.71
Heidelberg [...],Heidelberg,Q2966,"49.412222222222,8.71",49.412222222222,8.71
Heilbronn,Heilbronn,Q715,"49.140428,9.217953",49.140428,9.217953
Heimersheim (/ Ahr),Heimersheim,Q1384144,"50.5444,7.1703",50.5444,7.1703
Heimersheim / Ahr,Heimersheim,Q1384144,"50.5444,7.1703",50.5444,7.1703
Heimersheim/ Ahr,Heimersheim,Q1384144,"50.5444,7.1703",50.5444,7.1703
Helgoland,Heligoland,Q3038,"54.1825,7.8852777777778",54.1825,7.8852777777778
Hellinghausen,Hellinghausen,Q55584721,"51.664722222222,8.2855555555556",51.664722222222,8.2855555555556
Herberthöhe,Kokopo,Q1017369,"-4.35,152.27361111111",-4.35,152.27361111111
Herbertshöhe (Papua-Neuguinea),Kokopo,Q1017369,"-4.35,152.27361111111",-4.35,152.27361111111
Herbertshöhe [...],Kokopo,Q1017369,"-4.35,152.27361111111",-4.35,152.27361111111
Herero (Südafrika),Namibia,Q1030,"-23,17",-23,17
Heringsdorf,Heringsdorf,Q543232,"53.954343,14.1672",53.954343,14.1672
Hermannsburg (Landkreis Celle),Hermannsburg,Q549731,"52.831666666667,10.09",52.831666666667,10.09
Herrnhut,Herrnhut,Q165140,"51.016666666667,14.741666666667",51.016666666667,14.741666666667
Hersburg (bei Weimar),Weimar,Q3955,"50.98111111111111,11.329444444444444",50.98111111111111,11.329444444444444
Hervey Inseln (Deutsch-Neuguinea),Cook Islands,Q26988,"-21.233333333333334,-159.78333333333333",-21.233333333333334,-159.78333333333333
Herzogswalde bei Wilsdruff (Sachsen),Herzogswalde,Q1615362,"51.0125,13.494166666667",51.0125,13.494166666667
Hessen,Hesse,Q1199,"50.60802777777778,9.028472222222222",50.60802777777778,9.028472222222222
Hikari,Hikari,Q823502,"33.96186111111111,131.94219444444445",33.96186111111111,131.94219444444445
Hildburghausen (Thüringen),Hildburghausen,Q504348,"50.426111111111,10.728888888889",50.426111111111,10.728888888889
Hilden,Hilden,Q4094,"51.171388888889,6.9394444444444",51.171388888889,6.9394444444444
Hildesheim,Hildesheim,Q3185,"52.15,9.95",52.15,9.95
Hillcrest,Hillcrest,Q998580,"-29.78,30.762777777778",-29.78,30.762777777778
Hiltrup,Hiltrup,Q896720,"51.9028,7.63889",51.9028,7.63889
Himalayaländer,Himalayas,Q5451,"29,84",29,84
Hinterland von Mozambique (Ostafrika),Mozambique,Q1029,"-19,35",-19,35
Hiogo (Hyogo),Hyōgo Prefecture,Q130290,"34.69125,135.18308333333334",34.69125,135.18308333333334
Hirschberg,Hirschberg,Q630383,"50.405833333333,11.82",50.405833333333,11.82
Hirschberg (Schlesien),Hirschberg,Q630383,"50.405833333333,11.82",50.405833333333,11.82
Hlukhiv (Nähe von Grojec),Hlukhiv,Q864827,"51.676457594263,33.907781433829",51.676457594263,33.907781433829
Hobart (Tasmania) [...],Hobart,Q40191,"-42.883333333333,147.31666666667",-42.883333333333,147.31666666667
Hoboken (New Jersey),Hoboken,Q138578,"40.745,-74.0325",40.745,-74.0325
Höchstadt an der Aisch,Höchstadt an der Aisch,Q510543,"49.705555555556,10.805833333333",49.705555555556,10.805833333333
Hoffeld (b. Kiel),Hoffeld,Q563887,"50.371111111111,6.82",50.371111111111,6.82
Hohen Lychen (Uckermark),Hohenlychen Sanatorium,Q642435,"53.2014,13.3261",53.2014,13.3261
Hohenheim bei Stuttgart,Hohenheim,Q521992,"48.7118,9.2113",48.7118,9.2113
Hohenstein-Ernstthal,Hohenstein-Ernstthal,Q20073,"50.8,12.716666666667",50.8,12.716666666667
Hokkaido (Japan),Hokkaido,Q35581,"43.46055555555556,142.79222222222222",43.46055555555556,142.79222222222222
Hollabrunn (bei Wien),Hollabrunn,Q624352,"48.566666666667,16.083333333333",48.566666666667,16.083333333333
Holländisch Neu-Guinea,Netherlands New Guinea,Q941881,"-2.533333333333333,140.71666666666667",-2.533333333333333,140.71666666666667
Hollänisch Neu-Guinea,Netherlands New Guinea,Q941881,"-2.533333333333333,140.71666666666667",-2.533333333333333,140.71666666666667
Homberg,Homberg,Q69090,"46.766388888889,7.6666666666667",46.766388888889,7.6666666666667
Honduras,Honduras,Q783,"14.633333,-86.816667",14.633333,-86.816667
Hong Kong,Hong Kong,Q8646,"22.278333333333,114.15861111111",22.278333333333,114.15861111111
Hongkong,Hong Kong,Q8646,"22.278333333333,114.15861111111",22.278333333333,114.15861111111
Honolulu,Honolulu,Q18094,"21.30472222222222,-157.85722222222222",21.30472222222222,-157.85722222222222
Honolulu (Hawaii),Honolulu,Q18094,"21.30472222222222,-157.85722222222222",21.30472222222222,-157.85722222222222
Hopi,Arizona,Q816,"34.28666666666667,-111.65694444444445",34.28666666666667,-111.65694444444445
Hörde (heute Dortmund),Hörde,Q269297,"51.483333333333,7.5",51.483333333333,7.5
Höxter,Höxter,Q6228,"51.666666666667,9.25",51.666666666667,9.25
Hubertushöhe,Hubertushöhe,Q1678397,"52.2357,13.9674",52.2357,13.9674
Huichol,El Huichol,Q20224945,"23.87823,-99.2385",23.87823,-99.2385
Husum,Husum,Q21159,"54.476944444444,9.0511111111111",54.476944444444,9.0511111111111
"Hyôgo-Osaka, ab 1885 Generalkonsul [...]",Hyōgo Prefecture,Q130290,"34.69125,135.18308333333334",34.69125,135.18308333333334
Illinois [...],Illinois,Q1204,"40.000277777777775,-89.25027777777778",40.000277777777775,-89.25027777777778
Indien,India,Q668,"22.8,83",22.8,83
Indien [...],India,Q668,"22.8,83",22.8,83
Indischer Archipel,Malay Archipelago,Q208643,"-2.080581841855006,126.54688694172819",-2.080581841855006,126.54688694172819
Indischer Archipel [...],Malay Archipelago,Q208643,"-2.080581841855006,126.54688694172819",-2.080581841855006,126.54688694172819
Indochina,Mainland Southeast Asia,Q43467,"16,102",16,102
Indonesien,Indonesia,Q252,"-2,118",-2,118
Indonesien [...],Indonesia,Q252,"-2,118",-2,118
Indonesischer Archipel,Malay Archipelago,Q208643,"-2.080581841855006,126.54688694172819",-2.080581841855006,126.54688694172819
Inning (Ammersee),Inning am Ammersee,Q310856,"48.07636111111111,11.152319444444444",48.07636111111111,11.152319444444444
Innsbruck,Innsbruck,Q1735,"47.268333333333,11.393333333333",47.268333333333,11.393333333333
"Insel, Alsen (Dänemark)",Als,Q165383,"54.983333333333,9.9166666666667",54.983333333333,9.9166666666667
"Insel, Ponape (Karolinen/Mikronesien)",Pohnpei,Q319836,"6.9,158.225",6.9,158.225
"Insel, Risøy bei Tromsø (Norwegen)",Risøy,Q6353423,"59.409,5.267",59.409,5.267
"Insel, Sachalin, Ainu, 1911",Sakhalin,Q7792,"50.5,143",50.5,143
"Insel, Sangir",Sangihe Island,Q3100064,"3.554753,125.548894",3.554753,125.548894
"Insel, Sulawesi (Celebes) [...]",Sulawesi,Q3812,"-2,121",-2,121
"Insel, Sumatra",Sumatra,Q3492,"-0.298888888888889,101.270830555556",-0.298888888888889,101.270830555556
"Insel, Ureparapara (Banksgruppe)",Ureparapara,Q1788711,"-13.533333333333,167.33333333333",-13.533333333333,167.33333333333
Instanbul (Türkei),Istanbul,Q406,"41.01,28.960277777778",41.01,28.960277777778
Insterburg,Chernyakhovsk,Q5655,"54.633333333333,21.816666666667",54.633333333333,21.816666666667
Iran,Iran,Q794,"32,53",32,53
Irkutsk,Irkutsk,Q6576,"52.28916666666667,104.28",52.28916666666667,104.28
Italien,Italy,Q38,"42.5,12.5",42.5,12.5
Jacobshavn (West-Grönland),Ilulissat,Q191047,"69.216666666667,-51.1",69.216666666667,-51.1
Jakutsk (Sibirien),Yakutsk,Q6610,"62.027222222222,129.73194444444",62.027222222222,129.73194444444
Jaluit,Jaluit Atoll,Q168576,"6,169.56666666667",6,169.56666666667
Jaluit (Marshallinseln),Jaluit Atoll,Q168576,"6,169.56666666667",6,169.56666666667
Jaluit [...],Jaluit Atoll,Q168576,"6,169.56666666667",6,169.56666666667
Jamaika,Jamaica,Q766,"18.18,-77.4",18.18,-77.4
Japan,Japan,Q17,"35,136",35,136
Japan (Insel Sachalin),Sakhalin,Q7792,"50.5,143",50.5,143
Japan [...],Japan,Q17,"35,136",35,136
Jarkend,Yarkant County,Q857618,"38.41446,77.24964",38.41446,77.24964
,,,"38.41667,77.24056",38.41667,77.24056
Jaunde,Yaoundé,Q3808,"3.8577777777778,11.518055555556",3.8577777777778,11.518055555556
Java,Java,Q251,,,
Java (Indonesien),Java,Q3757,"-7.4916666666667,110.00444444444",-7.4916666666667,110.00444444444
,,,"-7.31166666666667,109.418330555556",-7.31166666666667,109.418330555556
Java (Jawa),Java,Q3757,"-7.4916666666667,110.00444444444",-7.4916666666667,110.00444444444
,,,"-7.31166666666667,109.418330555556",-7.31166666666667,109.418330555556
Java [...],Java,Q3757,"-7.4916666666667,110.00444444444",-7.4916666666667,110.00444444444
,,,"-7.31166666666667,109.418330555556",-7.31166666666667,109.418330555556
"Java, Sumatra",Java,Q3757,"-7.4916666666667,110.00444444444",-7.4916666666667,110.00444444444
,,,"-7.31166666666667,109.418330555556",-7.31166666666667,109.418330555556
Jawa,Java,Q3757,"-7.4916666666667,110.00444444444",-7.4916666666667,110.00444444444
,,,"-7.31166666666667,109.418330555556",-7.31166666666667,109.418330555556
Jena,Jena,Q3150,"50.927222222222,11.586388888889",50.927222222222,11.586388888889
Jena [...],Jena,Q3150,"50.927222222222,11.586388888889",50.927222222222,11.586388888889
Jesus Maria,Jesús María,Q48288,"-30.981666666667,-64.094166666667",-30.981666666667,-64.094166666667
Johannesburg,Johannesburg,Q34647,"-26.204361111111,28.041638888889",-26.204361111111,28.041638888889
Johannistal,Johannistal,Q972758,"51.3506,7.74722",51.3506,7.74722
Johore,Johor,Q183032,"1.4872222222222,103.78111111111",1.4872222222222,103.78111111111
Jokohama (Yokohama) (Japan),Yokohama,Q38283,"35.433333333333,139.65",35.433333333333,139.65
Jolo (Sulu-Archipel),Sulu Archipelago,Q1061195,"6,121",6,121
Kairo (Ägypten),Cairo,Q85,"30.044444444444444,31.235833333333332",30.044444444444444,31.235833333333332
Kairo (Cairo) [...],Cairo,Q85,"30.044444444444444,31.235833333333332",30.044444444444444,31.235833333333332
Kairo/Cairo (Ägypten),Cairo,Q85,"30.044444444444444,31.235833333333332",30.044444444444444,31.235833333333332
Kaiser-Wilhelms-Land (Deutsch-Neuguinea),Kaiser-Wilhelmsland,Q691017,"-6.83,146.67",-6.83,146.67
Kaiserin-Augusta-Fluss (Neuguinea),German Sepik Expedition,Q1721650,,,
"Kaiserreich, Österreichisch-Ungarn",Austria–Hungary,Q28513,"48.2075,16.365",48.2075,16.365
"Kaiserreich, Russland",Russian Empire,Q34266,"58.65,70.1167",58.65,70.1167
Kalabar,Calabar,Q844091,"4.95,8.325",4.95,8.325
Kalifornien,California,Q99,"37,-120",37,-120
Kalkutta (Calcutta),Kolkata,Q1348,"22.5675,88.37",22.5675,88.37
Kalkutta (Calcutta) (Indien),Kolkata,Q1348,"22.5675,88.37",22.5675,88.37
Kallara (New South Wales),Killara,Q6407288,,,
Kambodscha,Cambodia,Q424,"12.5,105",12.5,105
Kambodscha [...],Cambodia,Q424,"12.5,105",12.5,105
Kamerun,Cameroon,Q1009,"5.133333333333334,12.65",5.133333333333334,12.65
Kamerun (?),Cameroon,Q1009,"5.133333333333334,12.65",5.133333333333334,12.65
Kamerun [...],Cameroon,Q1009,"5.133333333333334,12.65",5.133333333333334,12.65
Kamraniye (Persien),Kamranieh,Q6359635,"35.807,51.46252777777778",35.807,51.46252777777778
Kamtschatka,Kamchatka Peninsula,Q993,"57,160",57,160
Kanada,Canada,Q16,"56,-109",56,-109
Kanada (Canada),Canada,Q16,"56,-109",56,-109
Kandy (Indien),Kandy,Q203197,"7.293055555555555,80.635",7.293055555555555,80.635
Kansas,Kansas,Q1558,"38.5,-98",38.5,-98
Kanton,Guangzhou,Q16572,"23.13,113.26",23.13,113.26
Kanton (China),Guangzhou,Q16572,"23.13,113.26",23.13,113.26
Kanton/Canton (China),Guangzhou,Q16572,"23.13,113.26",23.13,113.26
Kap Verde Inseln,Cape Verde,Q1011,"15.3,-23.7",15.3,-23.7
Kapstadt (Südafrika),Cape Town,Q5465,"-33.92527777777778,18.42388888888889",-33.92527777777778,18.42388888888889
"Kapurthala (Nordwest-Indien, Punjab)",Kapurthala,Q781354,"31.38,75.38",31.38,75.38
,,,"31.38,75.381111111111",31.38,75.381111111111
Karkodje/Carcoggi (heute Sannar am blauen Nil),Singa,Q130364,"13.148333333333,33.931111111111",13.148333333333,33.931111111111
Karlsbad,Karlovy Vary,Q384544,"50.230555555556,12.8725",50.230555555556,12.8725
Karlsbad (Karlovy Vary),Karlovy Vary,Q384544,"50.230555555556,12.8725",50.230555555556,12.8725
Karlsruhe,Karlsruhe,Q1040,"49.016666666667,8.4",49.016666666667,8.4
Karlsruhe (Baden),Karlsruhe,Q1040,"49.016666666667,8.4",49.016666666667,8.4
Karolinen,Caroline Islands,Q118350,"7.3825,147.0375",7.3825,147.0375
"Karolinen (Ponapé, Pohnpei)",Pohnpei,Q319836,"6.9,158.225",6.9,158.225
Kasdorff (bei Kleeth in Mecklenburg),Kleeth,Q111030154,"53.6132484,13.0728106",53.6132484,13.0728106
Kashgar,Kashgar,Q170521,"39.45,75.983333",39.45,75.983333
Kassel,Kassel,Q2865,"51.315777777778,9.4979166666667",51.315777777778,9.4979166666667
Katanga,Katanga Province,Q217242,"-9,26",-9,26
Katanga (Kongo),Katanga Province,Q217242,"-9,26",-9,26
Kattowitz,Katowice,Q588,"50.25,19",50.25,19
Kauai (Hawaii),Kīlauea,Q1900527,"22.211111111111,-159.40972222222",22.211111111111,-159.40972222222
Kaukasus,Caucasus,Q18869,"42.261111111111,44.121111111111",42.261111111111,44.121111111111
Kaulsdorf,Kaulsdorf,Q559705,"50.633055555556,11.433055555556",50.633055555556,11.433055555556
Kemen (Posen),Poznań,Q268,"52.40833333333333,16.933611111111112",52.40833333333333,16.933611111111112
Kenhardt (Cape Colony),Kenhardt,Q3643099,"-29.35,21.15",-29.35,21.15
Kenia,Kenya,Q114,"0.1,38",0.1,38
Kessenich,Kessenich,Q153782,"50.7126,7.10884",50.7126,7.10884
Kiautschou,Qingdao,Q170322,"36.116666666667,120.4",36.116666666667,120.4
"Kiautschou/Tsingtau (Qingdao), Pachtgebiet/Schutzgebiet lt. Staatsvertrag",Qingdao,Q170322,"36.116666666667,120.4",36.116666666667,120.4
Kiboscho,Kibosho,Q13123355,,,
Kiel,Kiel,Q1707,"54.323333333333,10.139444444444",54.323333333333,10.139444444444
Kiel [...],Kiel,Q1707,"54.323333333333,10.139444444444",54.323333333333,10.139444444444
Kigoma bei Ujiji [...],Kigoma,Q21124697,"-2.5291666666667,29.841111111111",-2.5291666666667,29.841111111111
Kilimatinde,Kilimatinde,Q6406979,"-5.85,34.95",-5.85,34.95
Kilossa [...],Bezirksamt Kilossa,Q56217191,,,
Kilwa,Kilwa,Q1741445,"-9.28888889,28.3375",-9.28888889,28.3375
"Kilwa, Hinrichtung",Kilwa District,Q2221197,"-9,39",-9,39
Kimberley,Kimberley,Q125905,"-28.738333333333333,24.76388888888889",-28.738333333333333,24.76388888888889
"Kinena (Kongogebiet), südöstlich von Kinangani",Kisangani,Q146723,"0.51527777777778,25.191111111111",0.51527777777778,25.191111111111
Kionga,Quionga,Q10356472,"-10.59444444,40.50694444",-10.59444444,40.50694444
Kirchheimbolanden (Pfalz),Kirchheimbolanden,Q200763,"49.666388888889,8.0116666666667",49.666388888889,8.0116666666667
Kirgisen [...],Kyrgyz people,Q484479,,,
Kirnbach bei Wolfach (Baden),Kirnbach,Q1743537,"48.2628,8.24438",48.2628,8.24438
Kitzeberg,Kitzeberg,Q258702,"54.360277777778,10.186666666667",54.360277777778,10.186666666667
Kitzingen,Kitzingen,Q10459,"49.75,10.26",49.75,10.26
Kl. Bengerstorf [...],Bengerstorf,Q690248,"53.416666666667,10.85",53.416666666667,10.85
Klein Popo (Togo) [...],Aného,Q1018574,"6.2288888888889,1.5930555555556",6.2288888888889,1.5930555555556
Klein Zschachwitz (bei Dresden),Zschachwitz,Q227206,"51,13.8417",51,13.8417
Klein Zscharnitz,Zscharnitz/Čornecy,Q10816873,"51.215135,14.291421",51.215135,14.291421
Klein-Popo,Aného,Q1018574,"6.2288888888889,1.5930555555556",6.2288888888889,1.5930555555556
Klein-Sedlitz,Kleinsedlitz,Q1773854,"50.9583,13.8806",50.9583,13.8806
Kloster Malchow (Mecklenburg),Malchow,Q20291,"53.475132,12.423356",53.475132,12.423356
Kobe,Kobe,Q48320,"34.69016666666667,135.19544444444443",34.69016666666667,135.19544444444443
Kobe (Japan),Kobe,Q48320,"34.69016666666667,135.19544444444443",34.69016666666667,135.19544444444443
Koblenz,Koblenz,Q3104,"50.359722222222,7.5977777777778",50.359722222222,7.5977777777778
Koblenz (Coblenz),Koblenz,Q3104,"50.359722222222,7.5977777777778",50.359722222222,7.5977777777778
Koepang (Kupang) (Timor) [...],Kupang,Q14155,"-10.163333333333,123.57777777778",-10.163333333333,123.57777777778
Kolberg (Pommern),Kołobrzeg,Q110011,"54.17611111111111,15.57611111111111",54.17611111111111,15.57611111111111
Köln,Cologne,Q365,"50.942222222222,6.9577777777778",50.942222222222,6.9577777777778
Köln [...],Cologne,Q365,"50.942222222222,6.9577777777778",50.942222222222,6.9577777777778
"Kolonie, Britisch-Indien",British Raj,Q129286,"22.541111111111,88.337777777778",22.541111111111,88.337777777778
"Kolonie, Britisch-Neuguinea",British New Guinea,Q2645837,"-9.47888888888889,147.1494438888889",-9.47888888888889,147.1494438888889
"Kolonie, Deutsch-Ostafrika",German East Africa,Q153963,"-2.4130555555555557,30.54361111111111",-2.4130555555555557,30.54361111111111
"Kolonie, Französisch-Kongo",French Congo,Q265319,"-1,16",-1,16
"Kolonie, Niederländisch-Indien",Dutch East Indies,Q188161,"-5,120",-5,120
"Kolonie, Portugiesisch-Ostafrika",Portuguese Mozambique,Q889394,"-25.91527777778,32.57638888889",-25.91527777778,32.57638888889
"Kolonie, Portugiesisch-Westafrika",Portuguese Guinea,Q2002279,"12.010492,-15.084866",12.010492,-15.084866
"Kolonie, Singapore",Colony of Singapore,Q4373718,"1.3,103.85",1.3,103.85
"Kolonie/""Schutzgebiet"", Deusch-Ostafrika",German East Africa,Q153963,"-2.4130555555555557,30.54361111111111",-2.4130555555555557,30.54361111111111
"Kolonie/""Schutzgebiet"", Deutsch-Neuguinea",German New Guinea,Q165008,"-4.2,152.17",-4.2,152.17
"Kolonie/""Schutzgebiet"", Deutsch-Neuguinea [...]",German New Guinea,Q165008,"-4.2,152.17",-4.2,152.17
"Kolonie/""Schutzgebiet"", Deutsch-Ostafrika",German East Africa,Q153963,"-2.4130555555555557,30.54361111111111",-2.4130555555555557,30.54361111111111
"Kolonie/""Schutzgebiet"", Deutsch-Ostafrika (?)",German East Africa,Q153963,"-2.4130555555555557,30.54361111111111",-2.4130555555555557,30.54361111111111
