em_ortsbezüge,em_ortsbezüge_wikidata,wikidata_id,coordinate_location_wikidata,coord_lat,coord_lon
,,,"-4.6397222222222,151.98472222222",-4.6397222222222,151.98472222222
Baldenburg (Westpreußen),Biały Bór,Q856028,"53.898611111111,16.837777777778",53.898611111111,16.837777777778
Bali,Bali Island,Q4648,"-8.35638888888889,115.071941666667",-8.35638888888889,115.071941666667
Bali (Kamerun),Bali,Q4850827,"5.88333,10.0167",5.88333,10.0167
Ballenstedt a/H,Ballenstedt,Q50886,"51.72,11.2375",51.72,11.2375
Balve (Bezirk Dortmund/Westfalen),Balve,Q5274,"51.333333333333,7.8666666666667",51.333333333333,7.8666666666667
Bamberg [...],Bamberg,Q3936,"49.891666666667,10.891666666667",49.891666666667,10.891666666667
Bamenda (Kamerun),Bamenda,Q528432,"5.961388888888889,10.151666666666667",5.961388888888889,10.151666666666667
Bamum (Kamerun) [...],Posten Bamum,Q50826331,,,
Bandjermasin (Südost-Borneo),Banjarmasin,Q14182,"-3.3144294728557657,114.59225373614943",-3.3144294728557657,114.59225373614943
Bangalore (Indien),Bengaluru,Q1355,"12.9791198,77.5912997",12.9791198,77.5912997
Bangkok,Bangkok,Q1861,"13.75,100.51666666667",13.75,100.51666666667
Bangkok (Siam),Siam area,Q7506714,"13.74555556,100.53416667",13.74555556,100.53416667
Bangkok (Thailand),Bangkok,Q1861,"13.75,100.51666666667",13.75,100.51666666667
Bangkok [...],Bangkok,Q1861,"13.75,100.51666666667",13.75,100.51666666667
Bangladesch (Bengalen),Bangladesh,Q902,"24.016666666666666,89.86666666666666",24.016666666666666,89.86666666666666
Bankok (Siam),Bangkok,Q1861,"13.75,100.51666666667",13.75,100.51666666667
Barcelona (Spanien),Barcelona,Q1492,"41.3825,2.1769444444444",41.3825,2.1769444444444
Bari (Italien),Bari,Q3519,"41.125277777778,16.866666666667",41.125277777778,16.866666666667
Barmen,Barmen,Q153974,"51.266666666667,7.2",51.266666666667,7.2
Barranquilla (Kolumbien),Barranquilla,Q62823,"10.983333333333333,-74.80194444444444",10.983333333333333,-74.80194444444444
Barsinghausen bei Hannover,Barsinghausen,Q16022,"52.303055555556,9.4605555555556",52.303055555556,9.4605555555556
Barth (Pommern),Pomerania-Barth,Q1241502,,,
Baruth (Mark),Baruth/Mark,Q311543,"52.04637,13.501398",52.04637,13.501398
Barzwitz (bei Rügenwalde),Barzowice,Q809704,"54.480555555556,16.5075",54.480555555556,16.5075
Basel (Schweiz),Basel,Q78,"47.560555555556,7.5905555555556",47.560555555556,7.5905555555556
Basel (Schweiz) (?),Basel,Q78,"47.560555555556,7.5905555555556",47.560555555556,7.5905555555556
Basel (Schweiz) [...],Basel,Q78,"47.560555555556,7.5905555555556",47.560555555556,7.5905555555556
Basel [...],Basel,Q78,"47.560555555556,7.5905555555556",47.560555555556,7.5905555555556
Batak (Sumatra,Batak,Q1998595,,,
Batakgebiet (Sumatra),Sumatra,Q3492,"-0.298888888888889,101.270830555556",-0.298888888888889,101.270830555556
"Batavia (heute: Jakarta) (auf Java, Indonesien)",Batavia,Q1199713,"-6.134836,106.813222",-6.134836,106.813222
Batu Djadjar (Java),Batu Jajar,Q110088052,,,
Bautzen,Bautzen,Q14835,"51.181388888889,14.423888888889",51.181388888889,14.423888888889
Bayamon (Puerto Rico),Bayamón,Q739675,"18.383333333333,-66.15",18.383333333333,-66.15
Bayern,Bavaria,Q980,"49.07861111111111,11.385555555555555",49.07861111111111,11.385555555555555
Bayreuth,Bayreuth,Q3923,"49.948055555556,11.578333333333",49.948055555556,11.578333333333
Bazentin le Petit (bei Albert) (Frankreich),Bazentin-le-Petit,Q109575182,"50.03401,2.761542",50.03401,2.761542
Beagle Bay (Nordwest-Australien),Beagle Bay,Q21893876,"-16.929722222222,122.54111111111",-16.929722222222,122.54111111111
Beeskow (Mark),Beeskow,Q572615,"52.17217,14.246585",52.17217,14.246585
Beijing (Peking) (China),Beijing,Q956,"39.90403,116.407526",39.90403,116.407526
Beijing (Peking) 北京,Beijing,Q956,"39.90403,116.407526",39.90403,116.407526
Beilngries (Pfalz),Beilngries,Q573230,"49.03417,11.47256",49.03417,11.47256
Beira,Beira,Q211563,"-19.833333333333,34.85",-19.833333333333,34.85
Beirut,Beirut,Q3820,"33.886944444444,35.513055555556",33.886944444444,35.513055555556
Belagavi (Bundesstaat Karnataka),Belagavi district,Q815464,"15.85,74.55",15.85,74.55
Belem (Brasilien),Greater Belém,Q2275273,"-1.455833,-48.503889",-1.455833,-48.503889
Belgaum (Indien),Belgaum,Q270176,"15.856944444444444,74.50444444444445",15.856944444444444,74.50444444444445
Belgien,Belgium,Q31,"50.641111111111,4.6680555555556",50.641111111111,4.6680555555556
Benares,Varanasi,Q79980,"25.318888888889,83.012777777778",25.318888888889,83.012777777778
Bengalen,Bengal,Q80338,"23.9888,88.7311",23.9888,88.7311
Benin,Benin Empire,Q171203,"6.31667,5.6",6.31667,5.6
Benin?,Benin Empire,Q171203,"6.31667,5.6",6.31667,5.6
Bergedorf (bei Hamburg),Bergedorf,Q1637,"53.487222222222,10.210277777778",53.487222222222,10.210277777778
Bergen,Bergen,Q26793,"60.3925,5.3233333333333",60.3925,5.3233333333333
"Berkeley, California",Berkeley,Q484678,"37.870277777778,-122.26805555556",37.870277777778,-122.26805555556
"Berkeley, California [...]",Berkeley,Q484678,"37.870277777778,-122.26805555556",37.870277777778,-122.26805555556
Berlin,Berlin,Q64,"52.516666666667,13.383333333333",52.516666666667,13.383333333333
Berlin (?),Berlin,Q64,"52.516666666667,13.383333333333",52.516666666667,13.383333333333
Berlin (Charlottenburg),Charlottenburg,Q162049,"52.516666666667,13.3",52.516666666667,13.3
Berlin (Halensee),Halensee,Q651009,"52.498083,13.296278",52.498083,13.296278
Berlin (Karolinenhof),Karolinenhof,Q1734260,"52.3917,13.6355",52.3917,13.6355
Berlin [...],Berlin,Q64,"52.516666666667,13.383333333333",52.516666666667,13.383333333333
Berlin oder Schweidnitz (Świdnica),Świdnica,Q387396,"50.84378,16.48859",50.84378,16.48859
Berlin-Grunewald,Grunewald,Q2874431,"52.483333333333,13.266666666667",52.483333333333,13.266666666667
"Berlin, (1901)",Berlin,Q64,"52.516666666667,13.383333333333",52.516666666667,13.383333333333
"Berlin, (kurzzeitig 1907)",Berlin,Q64,"52.516666666667,13.383333333333",52.516666666667,13.383333333333
"Berlin, als Gesandter (1886)",Berlin,Q64,"52.516666666667,13.383333333333",52.516666666667,13.383333333333
"Berlin, Erwerbungsvorgang",Berlin,Q64,"52.516666666667,13.383333333333",52.516666666667,13.383333333333
"Berlin, https://de.wikipedia.org/wiki/Ernst_K%C3%BChnel",Berlin,Q64,"52.516666666667,13.383333333333",52.516666666667,13.383333333333
"Berlin, Kaiser-Friedrich-Museum",Bode Museum,Q157825,"52.521944444444,13.394722222222",52.521944444444,13.394722222222
"Berlin, tätig für bzw. im Museum für Völkerkunde Berlin",Berlin,Q64,"52.516666666667,13.383333333333",52.516666666667,13.383333333333
"Berlin, um 1890",Berlin,Q64,"52.516666666667,13.383333333333",52.516666666667,13.383333333333
Berlinhafen (Matty Inseln),Berlinhafen,Q68935422,,,
"Berlinhafen, Deutsch- Neuguinea",Berlinhafen Station,Q47544284,,,
Bern,Bern,Q70,"46.94798,7.44743",46.94798,7.44743
Bërut [Beirut],Beirut,Q3820,"33.886944444444,35.513055555556",33.886944444444,35.513055555556
Bezirk Ponape (Deutsch-Mikronesien),Pohnpei,Q319836,"6.9,158.225",6.9,158.225
"Bezirk, Adamaua",Adamawa,Q351514,"7.3213888888889,13.583888888889",7.3213888888889,13.583888888889
"Bezirk, Bamenda (Kamerun)",Bamenda,Q528432,"5.961388888888889,10.151666666666667",5.961388888888889,10.151666666666667
"Bezirk, Charlottenburg",Charlottenburg borough,Q853708,"52.5147,13.2836",52.5147,13.2836
"Bezirk, Dschung","Bezirk, Dschung",,,,
"Bezirk, Lichtenberg",Lichtenberg,Q329609,"52.533333333333,13.5",52.533333333333,13.5
"Bezirk, Mödling (bei Wien / Österreich)",Mödling,Q277965,"48.085555555556,16.283055555556",48.085555555556,16.283055555556
"Bezirk, Pankow",Pankow,Q163012,"52.566666666667,13.4",52.566666666667,13.4
"Bezirk, Schöneberg",Schöneberg,Q853987,"52.4869,13.3567",52.4869,13.3567
"Bezirk, Steglitz",Steglitz,Q854040,"52.4464,13.3183",52.4464,13.3183
